id,filename,org,doc,year,url,topic,pages
277,who-Management of severe acute malnutrition in children 6–59 months of age with oedema.pdf,WHO (世界卫生组织),Management of severe acute malnutrition in children 6–59 months of age with oedema,,https://www.who.int/tools/elena/interventions/oedema-sam,WHO营养干预,
278,who-Management of severe acute malnutrition in individuals with active tuberculosis.pdf,WHO (世界卫生组织),Management of severe acute malnutrition in individuals with active tuberculosis,,https://www.who.int/tools/elena/interventions/sam-tuberculosis,WHO营养干预,
279,who-Micronutrient intake in children with severe acute malnutrition.pdf,WHO (世界卫生组织),Micronutrient intake in children with severe acute malnutrition,,https://www.who.int/tools/elena/interventions/micronutrients-sam,WHO营养干预,
280,who-Micronutrient supplementation in HIV-infected women during pregnancy.pdf,WHO (世界卫生组织),Micronutrient supplementation in HIV-infected women during pregnancy,,https://www.who.int/tools/elena/interventions/micronutrients-hiv-pregnancy,WHO营养干预,
281,who-Micronutrient supplementation in individuals with active tuberculosis.pdf,WHO (世界卫生组织),Micronutrient supplementation in individuals with active tuberculosis,,https://www.who.int/tools/elena/interventions/micronutrients-tuberculosis,WHO营养干预,
282,who-Micronutrient supplementation in low-birth-weight and very-low-birth-weight infants.pdf,WHO (世界卫生组织),Micronutrient supplementation in low-birth-weight and very-low-birth-weight infants,,https://www.who.int/tools/elena/interventions/supplementation-lbw-infants,WHO营养干预,
283,who-Mother’s milk for low-birth-weight infants.pdf,WHO (世界卫生组织),Mother’s milk for low-birth-weight infants,,https://www.who.int/tools/elena/interventions/mothersmilk-infants,WHO营养干预,
284,who-Nutrition assessment and counselling in individuals with active tuberculosis.pdf,WHO (世界卫生组织),Nutrition assessment and counselling in individuals with active tuberculosis,,https://www.who.int/tools/elena/interventions/nutrition-tuberculosis,WHO营养干预,
285,who-Nutrition counselling for adolescents and adults with HIV／AIDS.pdf,WHO (世界卫生组织),Nutrition counselling for adolescents and adults with HIV/AIDS,,https://www.who.int/tools/elena/interventions/nutrition-hiv,WHO营养干预,
286,who-Nutritional care of children and adults with Ebola virus disease in treatment centres.pdf,WHO (世界卫生组织),Nutritional care of children and adults with Ebola virus disease in treatment centres,,https://www.who.int/tools/elena/interventions/nutrition-ebola,WHO营养干预,
287,who-Nutritional care of HIV-infected children.pdf,WHO (世界卫生组织),Nutritional care of HIV-infected children,,https://www.who.int/tools/elena/interventions/nutrition-hiv-children,WHO营养干预,
288,who-Optimal timing of cord clamping for the prevention of iron deficiency anaemia in infants.pdf,WHO (世界卫生组织),Optimal timing of cord clamping for the prevention of iron deficiency anaemia in infants,,https://www.who.int/tools/elena/interventions/cord-clamping,WHO营养干预,
289,who-Reducing the impact of marketing of foods and non-alcoholic beverages on children.pdf,WHO (世界卫生组织),Reducing the impact of marketing of foods and non-alcoholic beverages on children,,https://www.who.int/tools/elena/interventions/food-marketing-children,WHO营养干预,
290,who-Regulation of marketing breast-milk substitutes.pdf,WHO (世界卫生组织),Regulation of marketing breast-milk substitutes,,https://www.who.int/tools/elena/interventions/regulation-breast-milk-substitutes,WHO营养干预,
291,who-Standard formula for low-birth-weight infants following hospital discharge.pdf,WHO (世界卫生组织),Standard formula for low-birth-weight infants following hospital discharge,,https://www.who.int/tools/elena/interventions/formula-infants,WHO营养干预,
292,who-Therapeutic feeding of children 6–59 months of age with severe acute malnutrition and acute or persistent diarrhoea.pdf,WHO (世界卫生组织),Therapeutic feeding of children 6–59 months of age with severe acute malnutrition and acute or persistent diarrhoea,,https://www.who.int/tools/elena/interventions/diarrhoea-sam,WHO营养干预,
293,who-Transition feeding of children 6–59 months of age with severe acute malnutrition.pdf,WHO (世界卫生组织),Transition feeding of children 6–59 months of age with severe acute malnutrition,,https://www.who.int/tools/elena/interventions/transition-feeding-sam,WHO营养干预,
294,who-Treatment of hypoglycaemia in children with severe acute malnutrition.pdf,WHO (世界卫生组织),Treatment of hypoglycaemia in children with severe acute malnutrition,,https://www.who.int/tools/elena/interventions/hypoglycaemia-sam,WHO营养干预,
295,who-Treatment of hypothermia in children with severe acute malnutrition.pdf,WHO (世界卫生组织),Treatment of hypothermia in children with severe acute malnutrition,,https://www.who.int/tools/elena/interventions/hypothermia-sam,WHO营养干预,
296,who-Use of antibiotics in the outpatient management of children 6-59 months of age with severe acute malnutrition.pdf,WHO (世界卫生组织),Use of antibiotics in the outpatient management of children 6-59 months of age with severe acute malnutrition,,https://www.who.int/tools/elena/interventions/antibiotics-sam,WHO营养干预,
297,who-Use of ferritin concentrations to assess iron status in individuals and populations.pdf,WHO (世界卫生组织),Use of ferritin concentrations to assess iron status in individuals and populations,,https://www.who.int/tools/elena/interventions/ferritin-concentrations,WHO营养干预,
298,who-Vitamin A supplementation in children 6–59 months of age with severe acute malnutrition.pdf,WHO (世界卫生组织),Vitamin A supplementation in children 6–59 months of age with severe acute malnutrition,,https://www.who.int/tools/elena/interventions/vitamina-sam,WHO营养干预,
299,who-Vitamin A supplementation in HIV-infected adults.pdf,WHO (世界卫生组织),Vitamin A supplementation in HIV-infected adults,,https://www.who.int/tools/elena/interventions/vitamina-hiv-adults,WHO营养干预,
300,who-Vitamin A supplementation in HIV-infected infants and children 6–59 months of age.pdf,WHO (世界卫生组织),Vitamin A supplementation in HIV-infected infants and children 6–59 months of age,,https://www.who.int/tools/elena/interventions/vitamina-children-hiv,WHO营养干预,
301,who-Vitamin A supplementation in HIV-infected women during pregnancy.pdf,WHO (世界卫生组织),Vitamin A supplementation in HIV-infected women during pregnancy,,https://www.who.int/tools/elena/interventions/vitamina-hiv-pregnancy,WHO营养干预,
302,who-Vitamin A supplementation in neonates.pdf,WHO (世界卫生组织),Vitamin A supplementation in neonates,,https://www.who.int/tools/elena/interventions/vitamina-neonatal,WHO营养干预,
303,who-Vitamin E supplementation for the prevention of morbidity and mortality in preterm infants.pdf,WHO (世界卫生组织),Vitamin E supplementation for the prevention of morbidity and mortality in preterm infants,,https://www.who.int/tools/elena/interventions/vitamine-preterm,WHO营养干预,
304,"who-Water, sanitation and hygiene interventions to prevent diarrhoea.pdf",WHO (世界卫生组织),"Water, sanitation and hygiene interventions to prevent diarrhoea",,https://www.who.int/tools/elena/interventions/wsh-diarrhoea,WHO营养干预,
